392.07,392.06,392.05,392.04,392.03,392.02,392.01,392.00,391.99,391.98,391.97,391.97,391.96,391.95,391.94,391.94,391.96,392.03,392.12,392.20,392.28,392.45,392.64,392.79,392.81,392.81,392.81,392.80,392.79,392.79,392.78,392.78,
392.08,392.07,392.06,392.05,392.04,392.03,392.02,392.01,392.00,392.00,391.99,391.98,391.97,391.96,391.96,391.96,391.97,392.11,392.26,392.41,392.56,392.65,392.74,392.81,392.83,392.83,392.83,392.82,392.81,392.80,392.80,392.79,
392.09,392.08,392.07,392.06,392.05,392.04,392.04,392.02,392.02,392.01,392.00,392.00,391.99,391.97,392.00,391.99,391.96,392.18,392.39,392.60,392.84,392.81,392.83,392.87,392.86,392.85,392.85,392.84,392.83,392.82,392.81,392.80,
392.10,392.09,392.08,392.07,392.06,392.06,392.04,392.04,392.04,392.03,392.03,392.03,392.03,392.04,392.09,392.14,392.20,392.35,392.51,392.68,392.82,392.85,392.86,392.88,392.87,392.87,392.86,392.85,392.84,392.83,392.82,392.81,
392.11,392.10,392.09,392.08,392.08,392.06,392.06,392.06,392.05,392.05,392.05,392.05,392.07,392.11,392.20,392.31,392.41,392.52,392.64,392.75,392.83,392.87,392.88,392.89,392.88,392.88,392.87,392.86,392.85,392.84,392.83,392.82,
392.12,392.11,392.11,392.10,392.09,392.08,392.07,392.07,392.07,392.06,392.06,392.08,392.10,392.14,392.29,392.47,392.63,392.70,392.76,392.82,392.88,392.90,392.91,392.91,392.90,392.89,392.88,392.87,392.87,392.86,392.85,392.84,
392.14,392.13,392.12,392.11,392.10,392.09,392.08,392.09,392.08,392.08,392.08,392.13,392.15,392.13,392.39,392.64,392.87,392.85,392.86,392.90,392.95,392.94,392.93,392.93,392.92,392.91,392.90,392.89,392.88,392.87,392.86,392.85,
392.15,392.14,392.13,392.12,392.11,392.11,392.10,392.10,392.11,392.12,392.15,392.24,392.33,392.43,392.59,392.75,392.88,392.91,392.92,392.94,392.96,392.95,392.95,392.94,392.93,392.92,392.91,392.90,392.89,392.88,392.87,392.86,
392.16,392.15,392.14,392.13,392.12,392.11,392.11,392.13,392.15,392.16,392.19,392.35,392.54,392.72,392.80,392.87,392.93,392.95,392.95,392.96,392.97,392.97,392.96,392.95,392.94,392.93,392.92,392.91,392.90,392.89,392.88,392.87,
392.17,392.16,392.15,392.14,392.13,392.12,392.12,392.17,392.21,392.22,392.19,392.47,392.74,393.03,392.98,392.98,393.00,392.99,392.99,392.99,392.99,392.98,392.97,392.96,392.95,392.94,392.93,392.92,392.91,392.91,392.90,392.89,
392.18,392.17,392.16,392.15,392.15,392.15,392.16,392.24,392.33,392.41,392.49,392.66,392.85,393.01,393.02,393.02,393.03,393.02,393.01,393.00,393.00,392.99,392.98,392.97,392.96,392.96,392.95,392.94,392.93,392.92,392.91,392.90,
392.19,392.19,392.18,392.16,392.17,392.17,392.18,392.31,392.47,392.62,392.77,392.86,392.95,393.03,393.05,393.04,393.04,393.03,393.03,393.02,393.01,393.00,393.00,392.99,392.98,392.97,392.96,392.95,392.94,392.93,392.92,392.91,
392.21,392.21,392.20,392.18,392.21,392.20,392.17,392.39,392.60,392.81,393.05,393.03,393.04,393.08,393.07,393.06,393.06,393.05,393.04,393.03,393.03,393.02,393.01,393.00,392.99,392.98,392.97,392.96,392.95,392.94,392.93,392.92,
392.26,392.26,392.26,392.26,392.31,392.35,392.41,392.56,392.72,392.89,393.04,393.06,393.07,393.09,393.09,393.08,393.07,393.06,393.05,393.05,393.04,393.03,393.02,393.01,393.00,392.99,392.98,392.97,392.96,392.96,392.95,392.94,
392.31,392.31,392.31,392.34,392.42,392.52,392.63,392.74,392.85,392.96,393.05,393.08,393.09,393.10,393.10,393.09,393.08,393.08,393.07,393.06,393.05,393.04,393.03,393.02,393.01,393.00,393.00,392.99,392.98,392.97,392.96,392.95,
392.35,392.36,392.36,392.37,392.52,392.69,392.85,392.91,392.97,393.03,393.09,393.11,393.12,393.12,393.11,393.11,393.10,393.09,393.08,393.07,393.06,393.05,393.04,393.04,393.03,393.02,393.01,393.00,392.99,392.98,392.97,392.96,
392.39,392.45,392.44,392.37,392.62,392.86,393.09,393.07,393.07,393.11,393.16,393.15,393.14,393.14,393.13,393.12,393.11,393.10,393.09,393.08,393.07,393.07,393.06,393.05,393.04,393.03,393.02,393.01,393.00,392.99,392.98,392.97,
392.68,392.69,392.69,392.69,392.82,392.97,393.10,393.12,393.13,393.15,393.17,393.17,393.16,393.15,393.14,393.13,393.12,393.11,393.10,393.10,393.09,393.08,393.07,393.06,393.05,393.04,393.03,393.02,393.01,393.01,393.00,392.99,
392.98,392.96,392.96,393.00,393.03,393.09,393.15,393.16,393.17,393.17,393.18,393.18,393.17,393.16,393.15,393.14,393.13,393.13,393.12,393.11,393.10,393.09,393.08,393.07,393.06,393.05,393.05,393.04,393.03,393.02,393.01,393.00,
393.27,393.19,393.18,393.26,393.20,393.19,393.22,393.20,393.20,393.20,393.20,393.19,393.18,393.17,393.16,393.16,393.15,393.14,393.13,393.12,393.11,393.10,393.09,393.08,393.08,393.07,393.06,393.05,393.04,393.03,393.02,393.01,
393.29,393.26,393.26,393.28,393.25,393.24,393.24,393.23,393.22,393.21,393.21,393.20,393.19,393.19,393.18,393.17,393.16,393.15,393.14,393.13,393.12,393.12,393.11,393.10,393.09,393.08,393.07,393.06,393.05,393.04,393.03,393.03,
393.30,393.29,393.29,393.29,393.27,393.26,393.25,393.24,393.24,393.23,393.22,393.22,393.21,393.20,393.19,393.18,393.17,393.16,393.15,393.15,393.14,393.13,393.12,393.11,393.10,393.09,393.08,393.07,393.07,393.06,393.05,393.04,
393.32,393.31,393.30,393.30,393.29,393.28,393.27,393.26,393.25,393.24,393.24,393.23,393.22,393.21,393.20,393.19,393.18,393.18,393.17,393.16,393.15,393.14,393.13,393.12,393.11,393.10,393.10,393.09,393.08,393.07,393.06,393.05,
393.33,393.32,393.32,393.31,393.30,393.29,393.28,393.27,393.26,393.26,393.25,393.24,393.23,393.22,393.21,393.21,393.20,393.19,393.18,393.17,393.16,393.15,393.14,393.14,393.13,393.12,393.11,393.10,393.09,393.08,393.07,393.06,
393.34,393.34,393.33,393.32,393.31,393.30,393.29,393.29,393.28,393.27,393.26,393.25,393.24,393.23,393.23,393.22,393.21,393.20,393.19,393.18,393.17,393.17,393.16,393.15,393.14,393.13,393.12,393.11,393.10,393.09,393.09,393.08,
393.36,393.35,393.34,393.33,393.32,393.32,393.31,393.30,393.29,393.28,393.27,393.26,393.26,393.25,393.24,393.23,393.22,393.21,393.20,393.20,393.19,393.18,393.17,393.16,393.15,393.14,393.13,393.13,393.12,393.11,393.10,393.09,
393.37,393.36,393.35,393.34,393.34,393.33,393.32,393.31,393.30,393.29,393.29,393.28,393.27,393.26,393.25,393.24,393.23,393.23,393.22,393.21,393.20,393.19,393.18,393.17,393.16,393.16,393.15,393.14,393.13,393.12,393.11,393.10,
393.38,393.37,393.37,393.36,393.35,393.34,393.33,393.32,393.31,393.31,393.30,393.29,393.28,393.27,393.26,393.25,393.25,393.24,393.23,393.22,393.21,393.20,393.19,393.19,393.18,393.17,393.16,393.15,393.14,393.13,393.12,393.12,
393.39,393.39,393.38,393.37,393.36,393.35,393.34,393.34,393.33,393.32,393.31,393.30,393.29,393.28,393.28,393.27,393.26,393.25,393.24,393.23,393.22,393.22,393.21,393.20,393.19,393.18,393.17,393.16,393.15,393.15,393.14,393.13,
393.41,393.40,393.39,393.38,393.37,393.36,393.36,393.35,393.34,393.33,393.32,393.31,393.31,393.30,393.29,393.28,393.27,393.26,393.25,393.25,393.24,393.23,393.22,393.21,393.20,393.19,393.19,393.18,393.17,393.16,393.15,393.14,
393.42,393.41,393.40,393.39,393.38,393.38,393.37,393.36,393.35,393.34,393.33,393.33,393.32,393.31,393.30,393.29,393.28,393.28,393.27,393.26,393.25,393.24,393.23,393.22,393.22,393.21,393.20,393.19,393.18,393.17,393.16,393.15,
393.43,393.42,393.41,393.41,393.40,393.39,393.38,393.37,393.36,393.36,393.35,393.34,393.33,393.32,393.31,393.31,393.30,393.29,393.28,393.27,393.26,393.25,393.25,393.24,393.23,393.22,393.21,393.20,393.19,393.19,393.18,393.17,
